id,title,description,img,price,category,quantity,temp_qty,approved,seller_id,created_at,updated_at
36,1985 Toyota Supra,"This model features soft rubber tires, working steering, rubber mud guards, authentic Ford logos, detailed undercarriage, opening doors and hood, removable split rear gate, full size spare mounted in bed, detailed interior with opening glove box",1.jpg,57.01,clothes,220,,,104,,
37,Collectable Wooden Train,"Hand crafted wooden toy train set is in about 1:18 scale, 25 inches in total length including 2 additional carts, of actual vintage train. This antique style wooden toy train model set is all hand-assembled with 100% wood.",2.jpg,67.56,books,212,,,104,,
38,1969 Dodge Super Bee,"This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",3.jpg,49.05,kids,204,,,104,,
39,1917 Maxwell Touring Car,"Features Gold Trim, Full Size Spare Tire, Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System",4.jpg,57.54,food,196,,,104,,
40,1976 Ford Gran Torino,"Highly detailed 1976 Ford Gran Torino ""Starsky and Hutch"" diecast model. Very well constructed and painted in red and white patterns.",5.jpg,73.49,food,188,,,104,,
41,1948 Porsche Type 356 Roadster,"This model features working front and rear suspension on accurately replicated and actuating shock absorbers as well as opening engine cover, rear stabilizer flap,  and 4 opening doors.",6.jpg,62.16,kids,180,,,104,,
42,1957 Vespa GS150,"Features rotating wheels , working kick stand. Comes with stand.",7.jpg,32.95,food,172,,,104,,
43,1941 Chevrolet Special Deluxe Cabriolet,"Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system, leather upholstery. Color black.",9.jpg,64.58,electronics,164,,,104,,
44,1970 Triumph Spitfire,Features include opening and closing doors. Color: White.,8.jpg,91.92,clothes,156,,,104,,
45,1932 Alfa Romeo 8C2300 Spider Sport,"This 1:18 scale precision die cast replica features the 6 front headlights of the original, plus a detailed version of the 142 horsepower straight 8 engine, dual spares and their famous comprehensive dashboard. Color black.",10.jpg,43.26,clothes,148,,,104,,
46,1904 Buick Runabout,"Features opening trunk,  working steering system",1.jpg,52.66,clothes,140,,,105,,
47,1940s Ford truck,"This 1940s Ford Pick-Up truck is re-created in 1:18 scale of original 1940s Ford truck. This antique style metal 1940s Ford Flatbed truck is all hand-assembled. This collectible 1940's Pick-Up truck is painted in classic dark green color, and features rotating wheels.",2.jpg,84.76,food,132,,,105,,
48,1939 Cadillac Limousine,"Features completely detailed interior including Velvet flocked drapes,deluxe wood grain floor, and a wood grain casket with seperate chrome handles",3.jpg,23.14,electronics,124,,,105,,
49,1957 Corvette Convertible,1957 die cast Corvette Convertible in Roman Red with white sides and whitewall tires. 1:18 scale quality die-cast with detailed engine and underbvody. Now you can own The Classic Corvette.,4.jpg,69.93,clothes,116,,,105,,
50,1957 Ford Thunderbird,"This 1:18 scale precision die-cast replica, with its optional porthole hardtop and factory baked-enamel Thunderbird Bronze finish, is a 100% accurate rendition of this American classic.",5.jpg,34.21,books,108,,,105,,
51,1970 Chevy Chevelle SS 454,"This model features rotating wheels, working streering system and opening doors. All parts are particularly delicate due to their precise scale and require special care and attention. It should not be picked up by the doors, roof, hood or trunk.",6.jpg,49.24,kids,100,,,105,,
52,1970 Dodge Coronet,"1:24 scale die-cast about 18"" long doors open, hood opens and rubber wheels",7.jpg,32.37,food,92,,,105,,
53,1997 BMW R 1100 S,Detailed scale replica with working suspension and constructed from over 70 parts,9.jpg,60.86,food,84,,,105,,
54,1966 Shelby Cobra 427 S/C,This diecast model of the 1966 Shelby Cobra 427 S/C includes many authentic details and operating parts. The 1:24 scale model of this iconic lighweight sports car from the 1960s comes in silver and it's own display case.,8.jpg,29.18,kids,76,,,105,,
55,1928 British Royal Navy Airplane,Official logos and insignias,10.jpg,66.74,food,68,,,105,,
56,1939 Chevrolet Deluxe Coupe,"This 1:24 scale die-cast replica of the 1939 Chevrolet Deluxe Coupe has the same classy look as the original. Features opening trunk, hood and doors and a showroom quality baked enamel finish.",1.jpg,22.57,electronics,60,,,105,,
57,1960 BSA Gold Star DBD34,Detailed scale replica with working suspension and constructed from over 70 parts,2.jpg,37.32,clothes,52,,,105,,
58,18th century schooner,"All wood with canvas sails. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with 4 masts, all square-rigged.",3.jpg,82.34,clothes,44,,,105,,
59,1938 Cadillac V-16 Presidential Limousine,"This 1:24 scale precision die cast replica of the 1938 Cadillac V-16 Presidential Limousine has all the details of the original, from the flags on the front to an opening back seat compartment complete with telephone and rifle. Features factory baked-enamel black finish, hood goddess ornament, working jump seats.",4.jpg,20.61,clothes,36,,,105,,
60,1962 Volkswagen Microbus,"This 1:18 scale die cast replica of the 1962 Microbus is loaded with features: A working steering system, opening front doors and tailgate, and famous two-tone factory baked enamel finish, are all topped of by the sliding, real fabric, sunroof.",5.jpg,61.34,food,28,,,105,,
61,1982 Ducati 900 Monster,"Features two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand",6.jpg,47.1,electronics,20,,,105,,
62,1949 Jaguar XK 120,"Precision-engineered from original Jaguar specification in perfect scale ratio. Features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",7.jpg,47.25,clothes,30,,,105,,
63,1958 Chevy Corvette Limited Edition,"The operating parts of this 1958 Chevy Corvette Limited Edition are particularly delicate due to their precise scale and require special care and attention. Features rotating wheels, working streering, opening doors and trunk. Color dark green.",9.jpg,15.91,books,40,,,105,,
64,1900s Vintage Bi-Plane,Hand crafted diecast-like metal bi-plane is re-created in about 1:24 scale of antique pioneer airplane. All hand-assembled with many different parts. Hand-painted in classic yellow and features correct markings of original airplane.,8.jpg,34.25,kids,50,,,105,,
65,1952 Citroen-15CV,"Precision crafted hand-assembled 1:18 scale reproduction of the 1952 15CV, with its independent spring suspension, working steering system, opening doors and hood, detailed engine and instrument panel, all topped of with a factory fresh baked enamel finish.",10.jpg,72.82,food,60,,,105,,
66,1982 Lamborghini Diablo,"This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",1.jpg,16.24,food,70,,,106,,
67,1912 Ford Model T Delivery Wagon,"This model features chrome trim and grille, opening hood, opening doors, opening trunk, detailed engine, working steering system. Color white.",2.jpg,46.91,kids,80,,,106,,
68,1969 Chevrolet Camaro Z28,"1969 Z/28 Chevy Camaro 1:24 scale replica. The operating parts of this limited edition 1:24 scale diecast model car 1969 Chevy Camaro Z28- hood, trunk, wheels, streering, suspension and doors- are particularly delicate due to their precise scale and require special care and attention.",3.jpg,50.51,food,90,,,106,,
69,1971 Alpine Renault 1600s,"This 1971 Alpine Renault 1600s replica Features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",4.jpg,38.58,electronics,100,,,106,,
70,1937 Horch 930V Limousine,"Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system",5.jpg,26.3,clothes,110,,,106,,
71,2002 Chevy Corvette,"The operating parts of this limited edition Diecast 2002 Chevy Corvette 50th Anniversary Pace car Limited Edition are particularly delicate due to their precise scale and require special care and attention. Features rotating wheels, poseable streering, opening doors and trunk.",6.jpg,62.11,clothes,120,,,107,,
72,1940 Ford Delivery Sedan,"Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System. Color black.",7.jpg,48.64,clothes,130,,,107,,
73,1956 Porsche 356A Coupe,Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,9.jpg,98.3,food,140,,,107,,
74,Corsair F4U ( Bird Cage),Has retractable wheels and comes with a stand. Official logos and insignias.,8.jpg,29.34,electronics,150,,,108,,
75,1936 Mercedes Benz 500k Roadster,"This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system and rubber wheels. Color black.",10.jpg,21.75,clothes,160,,,108,,
76,1992 Porsche Cayenne Turbo Silver,"This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",1.jpg,69.78,books,170,,,107,,
77,1936 Chrysler Airflow,"Features opening trunk,  working steering system. Color dark green.",2.jpg,57.46,kids,180,,,107,,
78,1900s Vintage Tri-Plane,Hand crafted diecast-like metal Triplane is Re-created in about 1:24 scale of antique pioneer airplane. This antique style metal triplane is all hand-assembled with many different parts.,3.jpg,36.23,food,190,,,107,,
79,1961 Chevrolet Impala,"This 1:18 scale precision die-cast reproduction of the 1961 Chevrolet Impala has all the features-doors, hood and trunk that open; detailed 409 cubic-inch engine; chrome dashboard and stick shift, two-tone interior; working steering system; all topped of with a factory baked-enamel finish.",4.jpg,32.33,food,200,,,107,,
80,1980’s GM Manhattan Express,"This 1980’s era new look Manhattan express is still active, running from the Bronx to mid-town Manhattan. Has 35 opeining windows and working lights. Needs a battery.",5.jpg,53.93,kids,210,,,107,,
81,1997 BMW F650 ST,Features official die-struck logos and baked enamel finish. Comes with stand.,6.jpg,66.92,food,220,,,109,,
82,1982 Ducati 996 R,"Features rotating wheels , working kick stand. Comes with stand.",7.jpg,24.14,electronics,230,,,107,,
83,1954 Greyhound Scenicruiser,"Model features bi-level seating, 50 windows, skylights & glare resistant glass, working steering system, original logos",9.jpg,25.98,clothes,240,,,109,,
84,1950's Chicago Surface Lines Streetcar,"This streetcar is a joy to see. It has 80 separate windows, electric wire guides, detailed interiors with seats, poles and drivers controls, rolling and turning wheel assemblies, plus authentic factory baked-enamel finishes (Green Hornet for Chicago and Cream and Crimson for Boston).",8.jpg,26.72,clothes,250,,,101,,
85,1996 Peterbilt 379 Stake Bed with Outrigger,"This model features, opening doors, detailed engine, working steering, tinted windows, detailed interior, die-struck logos, removable stakes operating outriggers, detachable second trailer, functioning 360-degree self loader, precision molded resin trailer and trim, baked enamel finish on cab",10.jpg,33.61,clothes,260,,,101,,
86,1928 Ford Phaeton Deluxe,"This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system",1.jpg,33.02,food,270,,,101,,
87,1974 Ducati 350 Mk3 Desmo,"This model features two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand",2.jpg,56.13,electronics,280,,,101,,
88,1930 Buick Marquette Phaeton,"Features opening trunk,  working steering system",3.jpg,27.06,clothes,290,,,101,,
89,Diamond T620 Semi-Skirted Tanker,This limited edition model is licensed and perfectly scaled for Lionel Trains. The Diamond T620 has been produced in solid precision diecast and painted with a fire baked enamel finish. It comes with a removable tanker and is a perfect model to add authenticity to your static train or car layout or to just have on display.,4.jpg,68.29,books,300,,,101,,
90,yyyyy,"This streetcar is a joy to see. It has 99 separate windows, electric wire guides, detailed interiors with seats, poles and drivers controls, rolling and turning wheel assemblies, plus authentic factory baked-enamel finishes (Green Hornet for Chicago and Cream and Crimson for Boston).",2.jpg,900,hhhhh,310,,,102,,
91,2002 Yamaha YZR M1,"Features rotating wheels , working kick stand. Comes with stand.",6.jpg,34.17,food,320,,,101,,
93,American Airlines: B767-300,Exact replia with official logos and insignias and retractable wheels,9.jpg,51.15,kids,330,,,101,,
